Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
Calvin Klein,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,390 ₪
Casio,עד 200 מטר,לגבר,משולב,כולל,0,395 ₪
Calvin Klein,יעודכן בקרוב,לאישה,יעודכן בקרוב,יעודכן בקרוב,0,398 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,כולל,0,799 ₪
Casio,200,לגבר,משולב,כולל,0,424 ₪
Casio,עד 200 מטר,לגבר,משולב,כולל,0,429 ₪
Bering,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,446 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,372 ₪
GANT,יעודכן בקרוב,לגבר,יעודכן בקרוב,יעודכן בקרוב,0,699 ₪
Bering,לא זמין,לאישה,אנלוגי,לא כולל,0,533 ₪
Calvin Klein,עד 30 מטר,לגבר,אנלוגי,לא כולל,חוות דעת אחת,349 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,858 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,576 ₪
Bering,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,588 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,293 ₪
GANT,עד 50 מטר,לא זמין,אנלוגי,לא כולל,0,725 ₪
Emporio Armani,עד 30 מטר,לגבר,אנלוגי,כולל,0,369 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,679 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,680 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,כולל,0,"1,684 ₪"
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,795 ₪
GANT,יעודכן בקרוב,לאישה,יעודכן בקרוב,יעודכן בקרוב,0,699 ₪
Casio,עמיד במים,לגבר,דיגיטלי,לא כולל,0,100 ₪
Casio,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,110 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,728 ₪
Emporio Armani,יעודכן בקרוב,לגבר,יעודכן בקרוב,יעודכן בקרוב,0,343 ₪
Calvin Klein,עד 30 מטר,לאישה,אנלוגי,לא כולל,0,349 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,865 ₪
Tissot,עד 300 מטר,לגבר,אנלוגי,כולל,0,"1,976 ₪"
Hugo Boss,עד 50 מטר,לגבר,אנלוגי,כולל,חוות דעת אחת,396 ₪
Michael Kors,עמיד במים,לאישה,אנלוגי,כולל,0,298 ₪
Casio,עד 50 מטר,לילדים,דיגיטלי,לא כולל,חוות דעת אחת,99 ₪
GANT,עד 50 מטר,לאישה,אנלוגי,כולל,0,809 ₪
Casio,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,125 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,340 ₪
Hugo Boss,עד 30 מטר,לגבר,אנלוגי,כולל,0,448 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,350 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,350 ₪
Emporio Armani,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,374 ₪
Casio,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,174 ₪
Certina,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,075 ₪"
Citizen,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,475 ₪
Casio,עד 50 מטר,יעודכן בקרוב,דיגיטלי,לא כולל,3 חוות דעת,89 ₪
GANT,יעודכן בקרוב,לגבר,יעודכן בקרוב,יעודכן בקרוב,0,898 ₪
Michael Kors,לא זמין,לאישה,אנלוגי,לא כולל,0,298 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,298 ₪
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,חוות דעת אחת,299 ₪
Casio,לא זמין,לגבר,דיגיטלי,לא כולל,0,228 ₪
Casio,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,150 ₪
Tissot,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,489 ₪"
Michael Kors,עד 50 מטר,לאישה,אנלוגי,כולל,0,294 ₪
Michael Kors,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,298 ₪
GANT,עד 50 מטר,לגבר,אנלוגי,לא זמין,0,999 ₪
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,0,399 ₪
Michael Kors,עד 100 מטר,לאישה,אנלוגי,כולל,0,299 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,כולל,חוות דעת אחת,304 ₪
Michael Kors,יעודכן בקרוב,לגבר,יעודכן בקרוב,יעודכן בקרוב,0,308 ₪
Casio,עד 50 מטר,לגבר,דיגיטלי,לא כולל,0,114 ₪
Casio,עד 200 מטר,לא זמין,דיגיטלי,לא זמין,0,229 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,363 ₪
Tissot,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,"1,165 ₪"
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,0,268 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,0,469 ₪
Emporio Armani,עד 30 מטר,לגבר,אנלוגי,כולל,0,369 ₪
Calvin Klein,עד 300 מטר,לאישה,אנלוגי,לא כולל,0,369 ₪
Hugo Boss,עד 50 מטר,לגבר,אנלוגי,כולל,0,377 ₪
Tissot,לא זמין,לגבר,אנלוגי,כולל,0,"1,489 ₪"
Tissot,עד 30 מטר,לגבר,אנלוגי,כולל,0,"1,990 ₪"
Michael Kors,עד 50 מטר,לאישה,אנלוגי,לא כולל,0,297 ₪
Michael Kors,עד 100 מטר,לגבר,אנלוגי,כולל,0,298 ₪
Michael Kors,לא זמין,לגבר,אנלוגי,כולל,0,298 ₪
Michael Kors,עד 50 מטר,יעודכן בקרוב,אנלוגי,לא כולל,0,298 ₪
Michael Kors,עד 50 מטר,לאישה,אנלוגי,כולל,0,299 ₪
Casio,עד 200 מטר,לגבר,משולב,כולל,0,415 ₪
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,321 ₪
Casio,לא עמיד במים,לגבר,דיגיטלי,לא כולל,0,124 ₪
Casio,עד 30 מטר,לגבר,אנלוגי,לא כולל,0,127 ₪
Certina,עד 100 מטר,לגבר,אנלוגי,לא כולל,0,"1,229 ₪"
Tommy Hilfiger,עד 50 מטר,לגבר,אנלוגי,כולל,0,330 ₪
Casio,עד 200 מטר,לגבר,דיגיטלי,לא כולל,חוות דעת אחת,330 ₪
Emporio Armani,עד 30 מטר,לגבר,אנלוגי,כולל,0,333 ₪
Hugo Boss,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,344 ₪
Hugo Boss,עד 50 מטר,לגבר,אנלוגי,כולל,0,344 ₪
Casio,עמיד במים,לאישה,אנלוגי,לא כולל,0,149 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,350 ₪
Casio,עד 100 מטר,לגבר,דיגיטלי,לא כולל,0,150 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,לא כולל,0,358 ₪
Casio,עד 200 מטר,לגבר,משולב,לא כולל,חוות דעת אחת,360 ₪
Hugo Boss,עד 50 מטר,לגבר,אנלוגי,כולל,0,367 ₪
Casio,עמיד במים,לגבר,דיגיטלי,כולל,חוות דעת אחת,169 ₪
Emporio Armani,עד 50 מטר,לגבר,אנלוגי,כולל,0,373 ₪
Casio,עמיד במים,לאישה,אנלוגי,לא כולל,0,174 ₪
