Brand,WaterProof,Gender,TimeDisplay,Chronograph,Rating,Price
GANT,100.0,1,1,0,0,910.0
Victorinox,100.0,1,1,1,0,1319.0
Casio,200.0,1,2,0,0,419.0
Casio,50.0,1,1,0,0,219.0
Tissot,30.0,1,1,0,0,1220.0
Casio,50.0,1,1,0,0,128.0
Casio,50.0,1,0,1,0,128.0
Casio,100.0,1,1,0,0,129.0
Emporio Armani,100.0,1,1,1,0,340.0
Casio,50.0,1,1,0,0,148.0
Emporio Armani,30.0,1,1,1,1,349.0
Casio,50.0,1,0,0,0,155.0
Casio,50.0,1,2,0,0,163.0
Casio,30.0,1,1,0,0,168.0
Michael Kors,50.0,1,1,0,0,274.0
Hugo Boss,50.0,1,1,1,0,376.0
Emporio Armani,100.0,1,1,1,0,379.0
Casio,100.0,1,0,0,1,188.0
Seiko,100.0,1,1,0,0,790.0
Casio,200.0,1,0,1,0,299.0
Casio,50.0,1,0,0,1,300.0
Casio,200.0,1,2,0,0,409.0
Tissot,100.0,1,1,0,0,1420.0
Casio,50.0,1,0,0,1,128.0
Rado,30.0,1,1,0,0,4329.0
Casio,100.0,1,2,0,0,129.0
Casio,50.0,1,1,0,0,138.0
Tommy Hilfiger,30.0,0,1,0,0,340.0
Citizen,100.0,1,1,0,0,1150.0
Calvin Klein,30.0,0,1,0,1,350.0
Casio,50.0,1,1,1,0,258.0
Casio,0.0,0,1,0,0,159.0
Casio,50.0,1,1,1,0,194.0
Tommy Hilfiger,30.0,0,1,1,0,397.0
Michael Kors,50.0,1,1,1,0,298.0
Rado,30.0,0,1,0,1,2599.0
Tissot,100.0,1,1,1,0,1499.0
Tissot,100.0,1,1,1,0,1199.0
Burberry,50.0,0,1,0,0,499.0
Michael Kors,50.0,1,1,1,0,299.0
Seiko,100.0,1,1,1,0,702.0
Casio,0.0,0,1,0,0,118.0
Casio,50.0,2,0,0,0,118.0
Michael Kors,50.0,0,1,0,0,319.0
Casio,100.0,0,1,0,0,121.0
Burberry,50.0,0,1,0,0,528.0
Casio,100.0,2,1,0,0,131.0
Tommy Hilfiger,50.0,1,1,0,0,334.0
Casio,50.0,1,2,1,0,138.0
Hugo Boss,100.0,1,1,1,0,447.0
Casio,200.0,1,0,0,0,248.0
Victorinox,100.0,1,1,0,0,1149.0
Casio,50.0,1,1,1,0,249.0
Casio,0.0,0,0,0,0,150.0
Casio,50.0,1,1,1,0,255.0
Casio,50.0,1,1,1,0,264.0
Hugo Boss,100.0,1,1,1,0,365.0
Casio,50.0,0,1,0,0,167.0
